Digit Recognition Application
Reading training data... 
100 samples
Reading test data... 
2000 samples
Reading labels... 
2000 labels
Running... 
Checking results:
Test 0: expected = 0, result = 9
Test 876: expected = 4, result = 3
Test 877: expected = 4, result = 9
Test 878: expected = 4, result = 8
Test 879: expected = 4, result = 0
Test 880: expected = 4, result = 9
Test 881: expected = 4, result = 9
Test 882: expected = 4, result = 9
Test 883: expected = 4, result = 9
Test 884: expected = 4, result = 7
Test 885: expected = 4, result = 6
Test 886: expected = 4, result = 9
Test 887: expected = 4, result = 9
Test 888: expected = 4, result = 9
Test 889: expected = 4, result = 6
Test 890: expected = 4, result = 7
Test 891: expected = 4, result = 9
Test 892: expected = 4, result = 6
Test 893: expected = 4, result = 6
Test 894: expected = 4, result = 9
Test 896: expected = 4, result = 3
Test 897: expected = 4, result = 0
Test 899: expected = 4, result = 3
Test 900: expected = 4, result = 9
Test 901: expected = 4, result = 9
Test 902: expected = 4, result = 9
Test 903: expected = 4, result = 9
Test 905: expected = 4, result = 9
Test 906: expected = 4, result = 0
Test 907: expected = 4, result = 9
Test 908: expected = 4, result = 9
Test 909: expected = 4, result = 9
Test 910: expected = 4, result = 9
Test 911: expected = 4, result = 9
Test 913: expected = 4, result = 9
Test 914: expected = 4, result = 9
Test 915: expected = 4, result = 8
Test 916: expected = 4, result = 3
Test 917: expected = 4, result = 9
Test 918: expected = 4, result = 9
Test 919: expected = 4, result = 9
Test 920: expected = 4, result = 9
Test 921: expected = 4, result = 9
Test 922: expected = 4, result = 9
Test 923: expected = 4, result = 6
Test 925: expected = 4, result = 9
Test 926: expected = 4, result = 9
Test 927: expected = 4, result = 9
Test 928: expected = 4, result = 6
Test 929: expected = 4, result = 9
Test 930: expected = 4, result = 6
Test 931: expected = 4, result = 9
Test 932: expected = 4, result = 9
Test 933: expected = 4, result = 8
Test 934: expected = 4, result = 9
Test 935: expected = 4, result = 9
Test 936: expected = 4, result = 9
Test 937: expected = 4, result = 9
Test 939: expected = 4, result = 9
Test 940: expected = 4, result = 9
Test 941: expected = 4, result = 9
Test 942: expected = 4, result = 6
Test 943: expected = 4, result = 9
Test 944: expected = 4, result = 9
Test 945: expected = 4, result = 0
Test 946: expected = 4, result = 9
Test 947: expected = 4, result = 9
Test 948: expected = 4, result = 9
Test 949: expected = 4, result = 6
Test 950: expected = 4, result = 8
Test 951: expected = 4, result = 6
Test 952: expected = 4, result = 9
Test 953: expected = 4, result = 3
Test 954: expected = 4, result = 9
Test 955: expected = 4, result = 9
Test 956: expected = 4, result = 9
Test 957: expected = 4, result = 9
Test 958: expected = 4, result = 9
Test 959: expected = 4, result = 9
Test 960: expected = 4, result = 9
Test 961: expected = 4, result = 9
Test 962: expected = 4, result = 9
Test 963: expected = 4, result = 6
Test 964: expected = 4, result = 8
Test 965: expected = 4, result = 9
Test 966: expected = 4, result = 8
Test 968: expected = 4, result = 0
Test 969: expected = 4, result = 6
Test 970: expected = 4, result = 9
Test 971: expected = 4, result = 6
Test 972: expected = 4, result = 9
Test 973: expected = 4, result = 6
Test 974: expected = 4, result = 9
Test 975: expected = 4, result = 9
Test 976: expected = 4, result = 7
Test 977: expected = 4, result = 7
Test 978: expected = 4, result = 9
Test 979: expected = 4, result = 9
Test 980: expected = 4, result = 9
Test 981: expected = 4, result = 9
Test 982: expected = 4, result = 6
Test 983: expected = 4, result = 9
Test 984: expected = 4, result = 0
Test 985: expected = 4, result = 6
Test 986: expected = 4, result = 9
Test 987: expected = 4, result = 9
Test 988: expected = 4, result = 9
Test 989: expected = 4, result = 9
Test 990: expected = 4, result = 9
Test 991: expected = 4, result = 6
Test 992: expected = 4, result = 6
Test 993: expected = 4, result = 9
Test 994: expected = 4, result = 9
Test 996: expected = 4, result = 9
Test 997: expected = 4, result = 9
Test 998: expected = 4, result = 9
Test 999: expected = 4, result = 3
Test 1000: expected = 5, result = 6
Test 1001: expected = 5, result = 8
Test 1002: expected = 5, result = 8
Test 1003: expected = 5, result = 7
Test 1004: expected = 5, result = 9
Test 1005: expected = 5, result = 7
Test 1006: expected = 5, result = 8
Test 1008: expected = 5, result = 1
Test 1009: expected = 5, result = 0
Test 1010: expected = 5, result = 9
Test 1011: expected = 5, result = 2
Test 1012: expected = 5, result = 0
Test 1013: expected = 5, result = 9
Test 1014: expected = 5, result = 6
Test 1015: expected = 5, result = 0
Test 1016: expected = 5, result = 6
Test 1017: expected = 5, result = 9
Test 1018: expected = 5, result = 0
Test 1019: expected = 5, result = 9
Test 1020: expected = 5, result = 9
Test 1021: expected = 5, result = 8
Test 1022: expected = 5, result = 8
Test 1023: expected = 5, result = 9
Test 1024: expected = 5, result = 6
Test 1025: expected = 5, result = 0
Test 1026: expected = 5, result = 9
Test 1027: expected = 5, result = 9
Test 1028: expected = 5, result = 9
Test 1029: expected = 5, result = 9
Test 1030: expected = 5, result = 3
Test 1031: expected = 5, result = 7
Test 1032: expected = 5, result = 3
Test 1034: expected = 5, result = 6
Test 1035: expected = 5, result = 9
Test 1036: expected = 5, result = 9
Test 1037: expected = 5, result = 8
Test 1038: expected = 5, result = 6
Test 1039: expected = 5, result = 7
Test 1040: expected = 5, result = 6
Test 1041: expected = 5, result = 6
Test 1042: expected = 5, result = 6
Test 1043: expected = 5, result = 6
Test 1044: expected = 5, result = 6
Test 1045: expected = 5, result = 9
Test 1046: expected = 5, result = 7
Test 1047: expected = 5, result = 7
Test 1048: expected = 5, result = 0
Test 1049: expected = 5, result = 9
Test 1050: expected = 5, result = 6
Test 1051: expected = 5, result = 9
Test 1052: expected = 5, result = 9
Test 1053: expected = 5, result = 0
Test 1054: expected = 5, result = 9
Test 1055: expected = 5, result = 0
Test 1056: expected = 5, result = 0
Test 1057: expected = 5, result = 6
Test 1058: expected = 5, result = 6
Test 1059: expected = 5, result = 6
Test 1060: expected = 5, result = 9
Test 1061: expected = 5, result = 6
Test 1062: expected = 5, result = 6
Test 1063: expected = 5, result = 0
Test 1064: expected = 5, result = 0
Test 1065: expected = 5, result = 1
Test 1066: expected = 5, result = 8
Test 1067: expected = 5, result = 1
Test 1068: expected = 5, result = 4
Test 1069: expected = 5, result = 8
Test 1070: expected = 5, result = 6
Test 1071: expected = 5, result = 0
Test 1072: expected = 5, result = 4
Test 1074: expected = 5, result = 9
Test 1075: expected = 5, result = 9
Test 1076: expected = 5, result = 9
Test 1077: expected = 5, result = 9
Test 1078: expected = 5, result = 9
Test 1079: expected = 5, result = 7
Test 1081: expected = 5, result = 8
Test 1082: expected = 5, result = 6
Test 1083: expected = 5, result = 8
Test 1084: expected = 5, result = 1
Test 1085: expected = 5, result = 8
Test 1086: expected = 5, result = 9
Test 1087: expected = 5, result = 8
Test 1088: expected = 5, result = 9
Test 1089: expected = 5, result = 6
Test 1090: expected = 5, result = 3
Test 1091: expected = 5, result = 0
Test 1092: expected = 5, result = 0
Test 1093: expected = 5, result = 9
Test 1094: expected = 5, result = 6
Test 1095: expected = 5, result = 6
Test 1096: expected = 5, result = 0
Test 1097: expected = 5, result = 8
Test 1098: expected = 5, result = 8
Test 1099: expected = 5, result = 8
Test 1100: expected = 5, result = 0
Test 1101: expected = 5, result = 1
Test 1103: expected = 5, result = 9
Test 1104: expected = 5, result = 6
Test 1105: expected = 5, result = 8
Test 1106: expected = 5, result = 7
Test 1107: expected = 5, result = 6
Test 1108: expected = 5, result = 9
Test 1109: expected = 5, result = 6
Test 1110: expected = 5, result = 6
Test 1111: expected = 5, result = 9
Test 1112: expected = 5, result = 6
Test 1113: expected = 5, result = 0
Test 1114: expected = 5, result = 6
Test 1115: expected = 5, result = 8
Test 1116: expected = 5, result = 6
Test 1117: expected = 5, result = 0
Test 1118: expected = 5, result = 0
Test 1119: expected = 5, result = 8
Test 1120: expected = 5, result = 6
Test 1121: expected = 5, result = 0
Test 1122: expected = 5, result = 0
Test 1123: expected = 5, result = 7
Test 1124: expected = 5, result = 6
Test 1125: expected = 5, result = 8
Test 1126: expected = 5, result = 9
Test 1127: expected = 5, result = 8
Test 1128: expected = 5, result = 9
Test 1129: expected = 5, result = 8
Test 1130: expected = 5, result = 9
Test 1131: expected = 5, result = 9
Test 1132: expected = 5, result = 9
Test 1133: expected = 5, result = 6
Test 1134: expected = 5, result = 7
Test 1135: expected = 5, result = 9
Test 1136: expected = 5, result = 8
Test 1137: expected = 5, result = 9
Test 1138: expected = 5, result = 0
Test 1139: expected = 5, result = 6
Test 1140: expected = 5, result = 6
Test 1141: expected = 5, result = 0
Test 1142: expected = 5, result = 8
Test 1143: expected = 5, result = 7
Test 1145: expected = 5, result = 9
Test 1146: expected = 5, result = 6
Test 1147: expected = 5, result = 0
Test 1148: expected = 5, result = 0
Test 1149: expected = 5, result = 6
Test 1150: expected = 5, result = 9
Test 1151: expected = 5, result = 8
Test 1152: expected = 5, result = 6
Test 1153: expected = 5, result = 6
Test 1154: expected = 5, result = 9
Test 1155: expected = 5, result = 8
Test 1156: expected = 5, result = 6
Test 1158: expected = 5, result = 4
Test 1159: expected = 5, result = 8
Test 1160: expected = 5, result = 6
Test 1161: expected = 5, result = 9
Test 1162: expected = 5, result = 6
Test 1163: expected = 5, result = 8
Test 1164: expected = 5, result = 0
Test 1165: expected = 5, result = 9
Test 1166: expected = 5, result = 4
Test 1167: expected = 5, result = 0
Test 1168: expected = 5, result = 0
Test 1169: expected = 5, result = 8
Test 1170: expected = 5, result = 7
Test 1171: expected = 5, result = 7
Test 1172: expected = 5, result = 8
Test 1173: expected = 5, result = 8
Test 1174: expected = 5, result = 6
Test 1175: expected = 5, result = 0
Test 1176: expected = 5, result = 9
Test 1177: expected = 5, result = 9
Test 1179: expected = 5, result = 7
Test 1180: expected = 5, result = 6
Test 1181: expected = 5, result = 8
Test 1182: expected = 5, result = 8
Test 1183: expected = 5, result = 8
Test 1184: expected = 5, result = 9
Test 1185: expected = 5, result = 8
Test 1187: expected = 5, result = 6
Test 1188: expected = 5, result = 9
Test 1189: expected = 5, result = 8
Test 1190: expected = 5, result = 9
Test 1191: expected = 5, result = 9
Test 1192: expected = 5, result = 6
Test 1193: expected = 5, result = 0
Test 1194: expected = 5, result = 4
Test 1195: expected = 5, result = 7
Test 1196: expected = 5, result = 9
Test 1197: expected = 5, result = 9
Test 1199: expected = 5, result = 6
Test 1200: expected = 6, result = 5
Test 1201: expected = 6, result = 9
Test 1203: expected = 6, result = 4
Test 1204: expected = 6, result = 4
Test 1205: expected = 6, result = 9
Test 1206: expected = 6, result = 3
Test 1207: expected = 6, result = 9
Test 1208: expected = 6, result = 9
Test 1210: expected = 6, result = 9
Test 1211: expected = 6, result = 8
Test 1213: expected = 6, result = 3
Test 1215: expected = 6, result = 0
Test 1216: expected = 6, result = 8
Test 1217: expected = 6, result = 8
Test 1219: expected = 6, result = 9
Test 1220: expected = 6, result = 9
Test 1223: expected = 6, result = 9
Test 1224: expected = 6, result = 8
Test 1225: expected = 6, result = 1
Test 1226: expected = 6, result = 9
Test 1227: expected = 6, result = 8
Test 1228: expected = 6, result = 4
Test 1229: expected = 6, result = 9
Test 1231: expected = 6, result = 0
Test 1232: expected = 6, result = 9
Test 1233: expected = 6, result = 0
Test 1234: expected = 6, result = 8
Test 1236: expected = 6, result = 8
Test 1238: expected = 6, result = 9
Test 1240: expected = 6, result = 4
Test 1241: expected = 6, result = 9
Test 1242: expected = 6, result = 0
Test 1243: expected = 6, result = 4
Test 1245: expected = 6, result = 9
Test 1246: expected = 6, result = 9
Test 1247: expected = 6, result = 9
Test 1248: expected = 6, result = 9
Test 1249: expected = 6, result = 4
Test 1251: expected = 6, result = 9
Test 1252: expected = 6, result = 9
Test 1253: expected = 6, result = 9
Test 1254: expected = 6, result = 8
Test 1255: expected = 6, result = 9
Test 1257: expected = 6, result = 4
Test 1259: expected = 6, result = 0
Test 1260: expected = 6, result = 9
Test 1261: expected = 6, result = 9
Test 1262: expected = 6, result = 9
Test 1263: expected = 6, result = 5
Test 1264: expected = 6, result = 8
Test 1266: expected = 6, result = 8
Test 1267: expected = 6, result = 4
Test 1270: expected = 6, result = 9
Test 1271: expected = 6, result = 9
Test 1272: expected = 6, result = 9
Test 1273: expected = 6, result = 9
Test 1277: expected = 6, result = 8
Test 1278: expected = 6, result = 9
Test 1279: expected = 6, result = 7
Test 1281: expected = 6, result = 9
Test 1283: expected = 6, result = 5
Test 1284: expected = 6, result = 0
Test 1285: expected = 6, result = 8
Test 1287: expected = 6, result = 8
Test 1288: expected = 6, result = 9
Test 1290: expected = 6, result = 8
Test 1291: expected = 6, result = 8
Test 1292: expected = 6, result = 8
Test 1293: expected = 6, result = 9
Test 1294: expected = 6, result = 9
Test 1295: expected = 6, result = 4
Test 1296: expected = 6, result = 9
Test 1299: expected = 6, result = 7
Test 1304: expected = 6, result = 9
Test 1305: expected = 6, result = 8
Test 1306: expected = 6, result = 9
Test 1307: expected = 6, result = 9
Test 1308: expected = 6, result = 8
Test 1309: expected = 6, result = 1
Test 1310: expected = 6, result = 8
Test 1311: expected = 6, result = 9
Test 1312: expected = 6, result = 9
Test 1313: expected = 6, result = 8
Test 1314: expected = 6, result = 8
Test 1315: expected = 6, result = 9
Test 1316: expected = 6, result = 8
Test 1317: expected = 6, result = 9
Test 1318: expected = 6, result = 8
Test 1320: expected = 6, result = 0
Test 1322: expected = 6, result = 8
Test 1323: expected = 6, result = 8
Test 1324: expected = 6, result = 9
Test 1325: expected = 6, result = 9
Test 1326: expected = 6, result = 9
Test 1327: expected = 6, result = 9
Test 1329: expected = 6, result = 9
Test 1330: expected = 6, result = 9
Test 1331: expected = 6, result = 7
Test 1334: expected = 6, result = 4
Test 1335: expected = 6, result = 3
Test 1336: expected = 6, result = 7
Test 1337: expected = 6, result = 9
Test 1338: expected = 6, result = 9
Test 1340: expected = 6, result = 9
Test 1341: expected = 6, result = 8
Test 1342: expected = 6, result = 8
Test 1343: expected = 6, result = 4
Test 1344: expected = 6, result = 9
Test 1345: expected = 6, result = 4
Test 1346: expected = 6, result = 8
Test 1347: expected = 6, result = 9
Test 1348: expected = 6, result = 3
Test 1349: expected = 6, result = 5
Test 1350: expected = 6, result = 4
Test 1352: expected = 6, result = 1
Test 1353: expected = 6, result = 9
Test 1354: expected = 6, result = 8
Test 1355: expected = 6, result = 7
Test 1356: expected = 6, result = 8
Test 1357: expected = 6, result = 5
Test 1358: expected = 6, result = 9
Test 1359: expected = 6, result = 8
Test 1360: expected = 6, result = 9
Test 1361: expected = 6, result = 0
Test 1364: expected = 6, result = 8
Test 1365: expected = 6, result = 9
Test 1367: expected = 6, result = 8
Test 1368: expected = 6, result = 8
Test 1369: expected = 6, result = 8
Test 1370: expected = 6, result = 9
Test 1371: expected = 6, result = 9
Test 1372: expected = 6, result = 9
Test 1374: expected = 6, result = 9
Test 1375: expected = 6, result = 3
Test 1376: expected = 6, result = 8
Test 1377: expected = 6, result = 0
Test 1381: expected = 6, result = 8
Test 1382: expected = 6, result = 9
Test 1383: expected = 6, result = 9
Test 1385: expected = 6, result = 9
Test 1386: expected = 6, result = 8
Test 1387: expected = 6, result = 0
Test 1388: expected = 6, result = 5
Test 1389: expected = 6, result = 5
Test 1390: expected = 6, result = 0
Test 1392: expected = 6, result = 4
Test 1394: expected = 6, result = 9
Test 1395: expected = 6, result = 4
Test 1396: expected = 6, result = 9
Test 1397: expected = 6, result = 7
Test 1398: expected = 6, result = 9
Test 1399: expected = 6, result = 9
Test 1400: expected = 7, result = 8
Test 1401: expected = 7, result = 9
Test 1402: expected = 7, result = 9
Test 1403: expected = 7, result = 9
Test 1404: expected = 7, result = 0
Test 1405: expected = 7, result = 9
Test 1406: expected = 7, result = 9
Test 1407: expected = 7, result = 9
Test 1408: expected = 7, result = 9
Test 1409: expected = 7, result = 9
Test 1410: expected = 7, result = 9
Test 1411: expected = 7, result = 6
Test 1412: expected = 7, result = 9
Test 1413: expected = 7, result = 9
Test 1414: expected = 7, result = 9
Test 1415: expected = 7, result = 6
Test 1416: expected = 7, result = 9
Test 1417: expected = 7, result = 9
Test 1418: expected = 7, result = 9
Test 1419: expected = 7, result = 9
Test 1420: expected = 7, result = 9
Test 1421: expected = 7, result = 9
Test 1422: expected = 7, result = 9
Test 1423: expected = 7, result = 9
Test 1424: expected = 7, result = 9
Test 1425: expected = 7, result = 9
Test 1426: expected = 7, result = 9
Test 1427: expected = 7, result = 9
Test 1428: expected = 7, result = 9
Test 1429: expected = 7, result = 6
Test 1430: expected = 7, result = 9
Test 1431: expected = 7, result = 0
Test 1432: expected = 7, result = 9
Test 1433: expected = 7, result = 9
Test 1434: expected = 7, result = 9
Test 1435: expected = 7, result = 9
Test 1436: expected = 7, result = 9
Test 1437: expected = 7, result = 9
Test 1438: expected = 7, result = 9
Test 1439: expected = 7, result = 6
Test 1440: expected = 7, result = 0
Test 1441: expected = 7, result = 1
Test 1442: expected = 7, result = 8
Test 1443: expected = 7, result = 8
Test 1444: expected = 7, result = 4
Test 1445: expected = 7, result = 9
Test 1446: expected = 7, result = 9
Test 1447: expected = 7, result = 9
Test 1448: expected = 7, result = 9
Test 1449: expected = 7, result = 9
Test 1450: expected = 7, result = 9
Test 1451: expected = 7, result = 9
Test 1452: expected = 7, result = 9
Test 1453: expected = 7, result = 9
Test 1454: expected = 7, result = 9
Test 1455: expected = 7, result = 9
Test 1456: expected = 7, result = 9
Test 1457: expected = 7, result = 9
Test 1458: expected = 7, result = 9
Test 1459: expected = 7, result = 1
Test 1460: expected = 7, result = 9
Test 1461: expected = 7, result = 9
Test 1463: expected = 7, result = 4
Test 1464: expected = 7, result = 9
Test 1465: expected = 7, result = 9
Test 1466: expected = 7, result = 0
Test 1467: expected = 7, result = 9
Test 1468: expected = 7, result = 8
Test 1469: expected = 7, result = 9
Test 1470: expected = 7, result = 9
Test 1471: expected = 7, result = 9
Test 1472: expected = 7, result = 9
Test 1473: expected = 7, result = 9
Test 1474: expected = 7, result = 9
Test 1475: expected = 7, result = 9
Test 1476: expected = 7, result = 9
Test 1477: expected = 7, result = 6
Test 1478: expected = 7, result = 9
Test 1479: expected = 7, result = 9
Test 1480: expected = 7, result = 9
Test 1481: expected = 7, result = 0
Test 1482: expected = 7, result = 9
Test 1483: expected = 7, result = 6
Test 1484: expected = 7, result = 9
Test 1485: expected = 7, result = 9
Test 1486: expected = 7, result = 9
Test 1487: expected = 7, result = 9
Test 1488: expected = 7, result = 9
Test 1489: expected = 7, result = 9
Test 1490: expected = 7, result = 8
Test 1491: expected = 7, result = 3
Test 1492: expected = 7, result = 9
Test 1493: expected = 7, result = 9
Test 1494: expected = 7, result = 9
Test 1495: expected = 7, result = 8
Test 1496: expected = 7, result = 6
Test 1497: expected = 7, result = 0
Test 1498: expected = 7, result = 9
Test 1499: expected = 7, result = 9
Test 1500: expected = 7, result = 9
Test 1501: expected = 7, result = 0
Test 1502: expected = 7, result = 9
Test 1503: expected = 7, result = 9
Test 1504: expected = 7, result = 9
Test 1505: expected = 7, result = 9
Test 1506: expected = 7, result = 9
Test 1507: expected = 7, result = 9
Test 1508: expected = 7, result = 9
Test 1509: expected = 7, result = 9
Test 1510: expected = 7, result = 9
Test 1511: expected = 7, result = 9
Test 1512: expected = 7, result = 8
Test 1513: expected = 7, result = 4
Test 1514: expected = 7, result = 9
Test 1515: expected = 7, result = 9
Test 1516: expected = 7, result = 9
Test 1517: expected = 7, result = 9
Test 1518: expected = 7, result = 9
Test 1519: expected = 7, result = 8
Test 1520: expected = 7, result = 9
Test 1521: expected = 7, result = 9
Test 1522: expected = 7, result = 9
Test 1523: expected = 7, result = 9
Test 1524: expected = 7, result = 3
Test 1525: expected = 7, result = 8
Test 1526: expected = 7, result = 9
Test 1527: expected = 7, result = 1
Test 1528: expected = 7, result = 9
Test 1529: expected = 7, result = 9
Test 1530: expected = 7, result = 9
Test 1531: expected = 7, result = 9
Test 1532: expected = 7, result = 9
Test 1533: expected = 7, result = 8
Test 1535: expected = 7, result = 9
Test 1536: expected = 7, result = 9
Test 1537: expected = 7, result = 9
Test 1538: expected = 7, result = 9
Test 1539: expected = 7, result = 9
Test 1540: expected = 7, result = 9
Test 1541: expected = 7, result = 9
Test 1542: expected = 7, result = 9
Test 1543: expected = 7, result = 9
Test 1544: expected = 7, result = 9
Test 1545: expected = 7, result = 9
Test 1546: expected = 7, result = 9
Test 1547: expected = 7, result = 9
Test 1548: expected = 7, result = 6
Test 1549: expected = 7, result = 9
Test 1550: expected = 7, result = 9
Test 1551: expected = 7, result = 1
Test 1552: expected = 7, result = 9
Test 1553: expected = 7, result = 1
Test 1554: expected = 7, result = 9
Test 1555: expected = 7, result = 9
Test 1556: expected = 7, result = 5
Test 1557: expected = 7, result = 0
Test 1558: expected = 7, result = 9
Test 1559: expected = 7, result = 9
Test 1560: expected = 7, result = 9
Test 1561: expected = 7, result = 9
Test 1562: expected = 7, result = 9
Test 1563: expected = 7, result = 4
Test 1564: expected = 7, result = 9
Test 1565: expected = 7, result = 9
Test 1566: expected = 7, result = 9
Test 1567: expected = 7, result = 0
Test 1568: expected = 7, result = 8
Test 1569: expected = 7, result = 9
Test 1570: expected = 7, result = 0
Test 1571: expected = 7, result = 8
Test 1572: expected = 7, result = 9
Test 1573: expected = 7, result = 9
Test 1575: expected = 7, result = 9
Test 1576: expected = 7, result = 9
Test 1577: expected = 7, result = 9
Test 1578: expected = 7, result = 9
Test 1579: expected = 7, result = 9
Test 1580: expected = 7, result = 9
Test 1581: expected = 7, result = 1
Test 1582: expected = 7, result = 9
Test 1583: expected = 7, result = 9
Test 1584: expected = 7, result = 9
Test 1585: expected = 7, result = 9
Test 1586: expected = 7, result = 8
Test 1587: expected = 7, result = 9
Test 1588: expected = 7, result = 9
Test 1589: expected = 7, result = 9
Test 1590: expected = 7, result = 9
Test 1591: expected = 7, result = 9
Test 1592: expected = 7, result = 5
Test 1593: expected = 7, result = 9
Test 1594: expected = 7, result = 9
Test 1595: expected = 7, result = 3
Test 1596: expected = 7, result = 9
Test 1597: expected = 7, result = 9
Test 1598: expected = 7, result = 9
Test 1599: expected = 7, result = 8
Test 1602: expected = 8, result = 3
Test 1604: expected = 8, result = 7
Test 1605: expected = 8, result = 7
Test 1606: expected = 8, result = 7
Test 1607: expected = 8, result = 9
Test 1609: expected = 8, result = 9
Test 1610: expected = 8, result = 9
Test 1611: expected = 8, result = 6
Test 1612: expected = 8, result = 9
Test 1614: expected = 8, result = 6
Test 1615: expected = 8, result = 9
Test 1616: expected = 8, result = 4
Test 1617: expected = 8, result = 7
Test 1618: expected = 8, result = 6
Test 1619: expected = 8, result = 7
Test 1620: expected = 8, result = 9
Test 1621: expected = 8, result = 6
Test 1622: expected = 8, result = 9
Test 1623: expected = 8, result = 9
Test 1626: expected = 8, result = 0
Test 1627: expected = 8, result = 7
Test 1628: expected = 8, result = 6
Test 1629: expected = 8, result = 0
Test 1630: expected = 8, result = 0
Test 1631: expected = 8, result = 3
Test 1632: expected = 8, result = 4
Test 1633: expected = 8, result = 6
Test 1635: expected = 8, result = 6
Test 1636: expected = 8, result = 9
Test 1637: expected = 8, result = 9
Test 1638: expected = 8, result = 6
Test 1639: expected = 8, result = 9
Test 1640: expected = 8, result = 6
Test 1641: expected = 8, result = 0
Test 1642: expected = 8, result = 6
Test 1643: expected = 8, result = 7
Test 1644: expected = 8, result = 4
Test 1645: expected = 8, result = 6
Test 1646: expected = 8, result = 9
Test 1648: expected = 8, result = 4
Test 1649: expected = 8, result = 9
Test 1650: expected = 8, result = 6
Test 1651: expected = 8, result = 6
Test 1652: expected = 8, result = 6
Test 1653: expected = 8, result = 9
Test 1654: expected = 8, result = 9
Test 1655: expected = 8, result = 6
Test 1657: expected = 8, result = 2
Test 1658: expected = 8, result = 7
Test 1659: expected = 8, result = 3
Test 1662: expected = 8, result = 9
Test 1663: expected = 8, result = 6
Test 1665: expected = 8, result = 6
Test 1666: expected = 8, result = 9
Test 1667: expected = 8, result = 6
Test 1668: expected = 8, result = 6
Test 1669: expected = 8, result = 5
Test 1670: expected = 8, result = 3
Test 1671: expected = 8, result = 6
Test 1672: expected = 8, result = 9
Test 1673: expected = 8, result = 9
Test 1675: expected = 8, result = 0
Test 1676: expected = 8, result = 6
Test 1678: expected = 8, result = 9
Test 1679: expected = 8, result = 6
Test 1680: expected = 8, result = 0
Test 1681: expected = 8, result = 4
Test 1682: expected = 8, result = 7
Test 1683: expected = 8, result = 9
Test 1684: expected = 8, result = 9
Test 1685: expected = 8, result = 6
Test 1686: expected = 8, result = 6
Test 1687: expected = 8, result = 6
Test 1688: expected = 8, result = 9
Test 1689: expected = 8, result = 4
Test 1690: expected = 8, result = 0
Test 1691: expected = 8, result = 7
Test 1692: expected = 8, result = 9
Test 1693: expected = 8, result = 4
Test 1695: expected = 8, result = 5
Test 1696: expected = 8, result = 0
Test 1698: expected = 8, result = 9
Test 1699: expected = 8, result = 6
Test 1700: expected = 8, result = 9
Test 1701: expected = 8, result = 6
Test 1702: expected = 8, result = 6
Test 1703: expected = 8, result = 5
Test 1704: expected = 8, result = 9
Test 1705: expected = 8, result = 9
Test 1706: expected = 8, result = 6
Test 1707: expected = 8, result = 6
Test 1708: expected = 8, result = 4
Test 1709: expected = 8, result = 4
Test 1710: expected = 8, result = 7
Test 1711: expected = 8, result = 9
Test 1712: expected = 8, result = 6
Test 1713: expected = 8, result = 6
Test 1714: expected = 8, result = 4
Test 1715: expected = 8, result = 7
Test 1716: expected = 8, result = 5
Test 1717: expected = 8, result = 6
Test 1718: expected = 8, result = 7
Test 1719: expected = 8, result = 7
Test 1720: expected = 8, result = 6
Test 1721: expected = 8, result = 0
Test 1722: expected = 8, result = 6
Test 1723: expected = 8, result = 4
Test 1724: expected = 8, result = 6
Test 1726: expected = 8, result = 3
Test 1727: expected = 8, result = 0
Test 1729: expected = 8, result = 6
Test 1730: expected = 8, result = 6
Test 1731: expected = 8, result = 6
Test 1732: expected = 8, result = 6
Test 1733: expected = 8, result = 9
Test 1734: expected = 8, result = 4
Test 1735: expected = 8, result = 9
Test 1736: expected = 8, result = 9
Test 1737: expected = 8, result = 5
Test 1738: expected = 8, result = 4
Test 1739: expected = 8, result = 9
Test 1740: expected = 8, result = 3
Test 1742: expected = 8, result = 6
Test 1743: expected = 8, result = 0
Test 1745: expected = 8, result = 0
Test 1746: expected = 8, result = 9
Test 1747: expected = 8, result = 0
Test 1748: expected = 8, result = 4
Test 1749: expected = 8, result = 6
Test 1750: expected = 8, result = 0
Test 1751: expected = 8, result = 9
Test 1752: expected = 8, result = 0
Test 1753: expected = 8, result = 4
Test 1754: expected = 8, result = 9
Test 1755: expected = 8, result = 7
Test 1756: expected = 8, result = 6
Test 1757: expected = 8, result = 6
Test 1758: expected = 8, result = 6
Test 1759: expected = 8, result = 0
Test 1760: expected = 8, result = 6
Test 1762: expected = 8, result = 9
Test 1763: expected = 8, result = 0
Test 1764: expected = 8, result = 9
Test 1765: expected = 8, result = 6
Test 1766: expected = 8, result = 0
Test 1767: expected = 8, result = 7
Test 1768: expected = 8, result = 6
Test 1769: expected = 8, result = 6
Test 1770: expected = 8, result = 7
Test 1771: expected = 8, result = 6
Test 1772: expected = 8, result = 6
Test 1774: expected = 8, result = 4
Test 1775: expected = 8, result = 4
Test 1776: expected = 8, result = 0
Test 1777: expected = 8, result = 5
Test 1778: expected = 8, result = 9
Test 1779: expected = 8, result = 9
Test 1780: expected = 8, result = 0
Test 1781: expected = 8, result = 0
Test 1782: expected = 8, result = 4
Test 1783: expected = 8, result = 5
Test 1784: expected = 8, result = 6
Test 1785: expected = 8, result = 6
Test 1786: expected = 8, result = 9
Test 1787: expected = 8, result = 6
Test 1788: expected = 8, result = 0
Test 1789: expected = 8, result = 5
Test 1790: expected = 8, result = 0
Test 1791: expected = 8, result = 5
Test 1792: expected = 8, result = 4
